Accession Date (YYYYMMDD),Accession #,Title,Author,Author_name_portion,# Times Checked Out
18940912,9105,"A gentleman of France : being the memoirs of Gaston de Bonne, sieur de Marsac.","Weyman, Stanley John, 1855-1928.", Stanley John Weyman,131
18940912,9107,A Puritan pagan : a novel.,"Gordon, Julien, 1850?-1920.", Julien Gordon,62
18940912,9108,Barabbas : a dream of the world's tragedy.,"Corelli, Marie, 1855-1924.", Marie Corelli,173
18940912,9110,The bow of orange ribbon : a romance of New York.,"Barr, Amelia Edith Huddleston, 1831-1919.", Amelia Edith Huddleston Barr,203
18940912,9112,Ben-Hur : a tale of the Christ.,"Wallace, Lew, 1827-1905.", Lew Wallace,104
18921017,8332,"On time, or, The young captain of the Ucayga steamer.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,207
18921017,8334,"The starry flag : or, The young fisherman of Cape Ann.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,150
18921017,8336,"The Count of Monte Cristo, or, The revenge of Edmond Dantes.","Dumas, Alexandre, 1802-1870.", Alexandre Dumas,101
18921017,8337,The gorilla hunters : a tale of the wilds of Africa.,"Ballantyne, R. M. (Robert Michael), 1825-1894.", Robert Michael Ballantyne,159
18921017,8338,Cast up by the sea.,"Baker, Samuel White, Sir, 1821-1893.", Sir Samuel White Baker,95
18921017,8339,The heir of Redclyffe.,"Yonge, Charlotte Mary, 1823-1901.", Charlotte Mary Yonge,158
18921017,8343,Dick's sweetheart.,"Duchess, 1855?-1897.",Duchess,119
18921017,8349,The Eichhofs : a romance.,"Bethusy-Huc, Valeska, Gräfin von, 1849-1926.","Valeska, Gräfin von Bethusy-Huc",141
18921017,8350,Castle Hohenwald : a romance.,"Streckfuss, Adolf, 1823-1895.", Adolf Streckfuss,186
18921017,8351,In the Schillingscourt : a romance.,"John, Eugenie, 1825-1887.", Eugenie John,166
18921017,8353,The bailiff's maid : a romance.,"John, Eugenie, 1825-1887.", Eugenie John,42
18921017,8362,"The colonel's daughter, or Winning his spurs.","King, Charles, 1844-1933.", Charles King,187
18921017,8363,Marion's faith.,"King, Charles, 1844-1933.", Charles King,125
18921017,8364,The new mistress : a tale.,"Fenn, George Manville, 1831-1909.", George Manville Fenn,90
18940925,9131,Treasure island.,"Stevenson, Robert Louis, 1850-1894.", Robert Louis Stevenson,90
18921017,8365,Elsie Dinsmore.,"Finley, Martha, 1828-1909.", Martha Finley,237
18921017,8366,Elsie's children.,"Finley, Martha, 1828-1909.", Martha Finley,142
18921017,8367,"Elsie's widowhood : a sequel to ""Elsie's children"".","Finley, Martha, 1828-1909.", Martha Finley,164
18921017,8368,Holidays at Roselands : with some after scenes in Elsie's life ; being a sequel to Elsie Dinsmore.,"Finley, Martha, 1828-1909.", Martha Finley,178
18921017,8369,"Elsie's motherhood : a sequel to ""Elsie's womanhood"".","Finley, Martha, 1828-1909.", Martha Finley,169
18921017,8375,Ned in the woods : a tale of the early days in the west.,"Ellis, Edward Sylvester, 1840-1916.", Edward Sylvester Ellis,210
18921017,8378,"A chance for himself, or, Jack Hazard and his treasure.","Trowbridge, J. T. (John Townsend), 1827-1916.", John Townsend Trowbridge,144
18921017,8382,"Lawrence's adventures among the ice-cutters, glass-makers, coal-miners, iron-men, and ship-builders.","Trowbridge, J. T. (John Townsend), 1827-1916.", John Townsend Trowbridge,129
18921017,8383,"Samantha at Saratoga, or, ""Flirtin' with fashion"".","Holley, Marietta, 1836-1926.", Marietta Holley,99
18921017,8386,By woman's wit : a novel.,"Alexander, Mrs., 1825-1902.", Mrs. Alexander,210
18921017,8387,A life interest.,"Alexander, Mrs., 1825-1902.", Mrs. Alexander,98
18921019,8388,The snare of the fowler.,"Alexander, Mrs., 1825-1902.", Mrs. Alexander,161
18921019,8390,The reproach of Annesley.,"Tuttiett, Mary Gleed, d. 1923.", Mary Gleed Tuttiett,74
18921019,8391,The mysterious island.,"Verne, Jules, 1828-1905.", Jules Verne,69
18921019,8393,A life for a life.,"Craik, Dinah Maria Mulock, 1826-1887.", Dinah Maria Mulock Craik,117
18921019,8394,Hannah.,"Craik, Dinah Maria Mulock, 1826-1887.", Dinah Maria Mulock Craik,97
18921019,8395,Mistress and maid : a household story.,"Craik, Dinah Maria Mulock, 1826-1887.", Dinah Maria Mulock Craik,108
18921019,8396,Pride and prejudice and Northanger abbey.,"Austen, Jane, 1775-1817.", Jane Austen,98
18940926,9132,"Freaks of fortune, or, Half round the world.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,160
18940926,9133,"Breaking away : or, The fortunes of a student.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,168
18940926,9134,"Seek and find; or, The adventures of a smart boy.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,180
18940926,9135,"Make or break : or, The rich man's daughter.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,151
18940926,9137,"Shamrock and thistle; or, Young America in Ireland and Scotland : a story of travel and adventure.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,98
18940926,9136,"Down the river : or, Buck Bradford and his tyrants.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,167
18940926,9139,"Up the Baltic, or, Young America in Norway, Sweden, and Denmark.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,68
18940926,9144,"Isles of the sea : or, Young America homeward bound. A story of travel and adventure.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,68
18940926,9145,"Brake up : or, The young peacemakers.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,140
18940926,9146,"Bear and forbear : or, The young skipper of Lake Ucayga.","Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,167
18940926,9147,Taken by the enemy.,"Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,159
18940926,9148,Within the enemy's lines.,"Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,201
18940926,9149,On the blockade.,"Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,169
18940926,9150,Stand by the Union.,"Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,163
18940926,9151,Fighting for the right.,"Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,160
18940926,9152,A victorious union.,"Adams, William T. ‡q (William Taylor), 1822-1897.", William Taylor Adams,153
18940926,9156,A world of girls : the story of a school.,"Meade, L. T., 1854-1914.", L. T. Meade,373
18940926,9157,A sweet girl graduate.,"Meade, L. T., 1854-1914.", L. T. Meade,143
18940926,9158,"Girl neighbors: or, the old fashion and the new.","Keddie, Henrietta, ‡d 1827-1914.", Henrietta Keddie,126
18940926,9159,"Yussuf the guide : or, The mountain bandits : being a story of strange adventure in Asia Minor.","Fenn, George Manville, 1831-1909.", George Manville Fenn,63
18940926,9160,Merle's crusade : a novel.,"Carey, Rosa Nouchette, 1840-1909.", Rosa Nouchette Carey,141
18940926,9161,The story of a bad boy.,"Aldrich, Thomas Bailey, 1836-1907.", Thomas Bailey Aldrich,167
18941002,9162,The youngest Miss Lorton : and other stories.,"Perry, Nora, 1831-1896.", Nora Perry,100
18921019,8398,Won by waiting : a novel.,"Lyall, Edna, 1857-1903.", Edna Lyall,131
18921019,8399,We two : a novel.,"Lyall, Edna, 1857-1903.", Edna Lyall,124
18921019,8400,Dora Thorne.,"Brame, Charlotte M., 1836-1884.", Charlotte M. Brame,148
18941002,9164,Sweet.,"Bouvet, Marguerite, 1865-1915.", Marguerite Bouvet,89
18921019,8401,Michael Strogoff : the courier of the czar.,"Verne, Jules, 1828-1905.", Jules Verne,39
18921019,8403,The villa on the Rhine.,"Auerbach, Berthold, 1812-1882.", Berthold Auerbach,22
18921019,8405,The cabin on the prairie.,"Pearson, C. H. (Charles Henry), 1824-1906.", Charles Henry Pearson,38
18941002,9165,"John Boyd's adventures : merchant sailor, man-of-war's-man, privateersman, pirate, and algerine slave.","Knox, Thomas Wallace, 1835-1896.", Thomas Wallace Knox,114
18921019,8406,His great self.,"Harland, Marion, 1830-1922.", Marion Harland,135
18941002,9166,Sir Godfrey's grand-daughters : a novel.,"Carey, Rosa Nouchette, 1840-1909.", Rosa Nouchette Carey,88
18941002,9167,Little Miss Muffet.,"Carey, Rosa Nouchette, 1840-1909.", Rosa Nouchette Carey,132
18941002,9168,Old Jack : a tale for boys.,"Kingston, William Henry Giles, 1814-1880.", William Henry Giles Kingston,78
18941002,9169,Jack the hunchback.,"Otis, James, 1848-1912.", James Otis,66
18921019,8408,Not like other girls.,"Carey, Rosa Nouchette, 1840-1909.", Rosa Nouchette Carey,157
18921019,8413,Diana's livery.,"Brodhead, Eva Wilder, 1870-1915.", Eva Wilder Brodhead,29
18921019,8414,The shadow of a dream : a story.,"Howells, William Dean, 1837-1920.", William Dean Howells,70
18921019,8415,The lady of the Aroostook.,"Howells, William Dean, 1837-1920.", William Dean Howells,57
18941002,9170,Polly Oliver's problem : a story for girls.,"Wiggin, Kate Douglas Smith, 1856-1923.", Kate Douglas Smith Wiggin,88
18941002,9172,Little Marjorie's love-story.,"Bouvet, Marguerite, 1865-1915.", Marguerite Bouvet,120
18941002,9173,"Margaret Davis, tutor.","Ray, Anna Chapin, 1865-1945.", Anna Chapin Ray,87
18941002,9175,The prince and the pauper : a tale for young people of all ages.,"Clemens, Samuel Langhorne, ‡d 1835-1910.", Samuel Langhorne Clemens,86
18941002,9177,The Barberry bush : and eight other stories about girls for girls.,"Coolidge, Susan, 1835-1905.", Susan Coolidge,154
18941002,9182,A ring of rubies.,"Meade, L. T., 1854-1914.", L. T. Meade,209
18921019,8417,Expiation.,"Thanet, Octave, 1850-1934.", Octave Thanet,31
18921019,8418,Two little Confederates.,"Page, Thomas Nelson, 1853-1922.", Thomas Nelson Page,71
18921019,8419,Daddy Jake the runaway : and short stories told after dark.,"Harris, Joel Chandler, 1848-1908.", Joel Chandler Harris,74
18921019,8424,"Snowed up : or, The sportsman's club in the mountains.","Fosdick, Charles Austin, 1842-1915.", Charles Austin Fosdick,161
18921019,8425,"Frank Nelson in the forecastle, or, The sportsman's club among the whalers.","Fosdick, Charles Austin, 1842-1915.", Charles Austin Fosdick,112
18921019,8426,"Tom Newcombe : or, The boy of bad habits.","Fosdick, Charles Austin, 1842-1915.", Charles Austin Fosdick,155
18941002,9186,"A little queen of hearts ; an international story, 1927.","Ogden, Ruth, 1853-1927.", Ruth Ogden,104
18941002,9188,Hermine's triumphs.,"Colomb, J. (Joséphine), 1833-1892.", Joséphine Colomb,38
18941002,9189,Opening a chestnut burr.,"Roe, Edward Payson, 1838-1888.", Edward Payson Roe,188
18941002,9190,Nature's serial story.,"Roe, Edward Payson, 1838-1888.", Edward Payson Roe,202
18941002,9191,The earth trembled.,"Roe, Edward Payson, 1838-1888.", Edward Payson Roe,178
18921019,8427,"Go-ahead : or, The fisher-boy's motto.","Fosdick, Charles Austin, 1842-1915.", Charles Austin Fosdick,209
18941015,9196,Elsie Dinsmore.,"Finley, Martha, 1828-1909.", Martha Finley,184
18941015,9198,Elsie's womanhood.,"Finley, Martha, 1828-1909.", Martha Finley,186
18921019,8439,Four girls at Chautauqua.,"Alden, Isabella Macdonald, 1841-1930.", Isabella Macdonald Alden,102
18921019,8441,Ester Ried yet speaking.,"Alden, Isabella Macdonald, 1841-1930.", Isabella Macdonald Alden,64
18921019,8443,"The young outlaw, or, Adrift in the streets.","Alger, Horatio, 1832-1899.", Horatio Alger,146
18921019,8444,The telegraph boy.,"Alger, Horatio, 1832-1899.", Horatio Alger,364
