accession_number,book_url
8995,https://lib.bsu.edu/wmr/book_record.php?ID=5424
8997,https://lib.bsu.edu/wmr/book_record.php?ID=5444
8998,https://lib.bsu.edu/wmr/book_record.php?ID=5445
8999,https://lib.bsu.edu/wmr/book_record.php?ID=5446
9000,https://lib.bsu.edu/wmr/book_record.php?ID=5447
9003,https://lib.bsu.edu/wmr/book_record.php?ID=5451
9027,https://lib.bsu.edu/wmr/book_record.php?ID=6431
9028,https://lib.bsu.edu/wmr/book_record.php?ID=6435
9034,https://lib.bsu.edu/wmr/book_record.php?ID=6529
9036,https://lib.bsu.edu/wmr/book_record.php?ID=6537
9037,https://lib.bsu.edu/wmr/book_record.php?ID=6584
9039,https://lib.bsu.edu/wmr/book_record.php?ID=6593
9045,https://lib.bsu.edu/wmr/book_record.php?ID=6615
9046,https://lib.bsu.edu/wmr/book_record.php?ID=6621
9047,https://lib.bsu.edu/wmr/book_record.php?ID=6623
9048,https://lib.bsu.edu/wmr/book_record.php?ID=6626
9049,https://lib.bsu.edu/wmr/book_record.php?ID=6629
9050,https://lib.bsu.edu/wmr/book_record.php?ID=6631
9051,https://lib.bsu.edu/wmr/book_record.php?ID=6633
9054,https://lib.bsu.edu/wmr/book_record.php?ID=6641
9058,https://lib.bsu.edu/wmr/book_record.php?ID=6716
9090,https://lib.bsu.edu/wmr/book_record.php?ID=6933
9091,https://lib.bsu.edu/wmr/book_record.php?ID=6934
9098,https://lib.bsu.edu/wmr/book_record.php?ID=7174
9099,https://lib.bsu.edu/wmr/book_record.php?ID=7175
9100,https://lib.bsu.edu/wmr/book_record.php?ID=7177
9101,https://lib.bsu.edu/wmr/book_record.php?ID=7178
9102,https://lib.bsu.edu/wmr/book_record.php?ID=7180
9103,https://lib.bsu.edu/wmr/book_record.php?ID=7181
9104,https://lib.bsu.edu/wmr/book_record.php?ID=7183
9105,https://lib.bsu.edu/wmr/book_record.php?ID=7185
9107,https://lib.bsu.edu/wmr/book_record.php?ID=7187
9108,https://lib.bsu.edu/wmr/book_record.php?ID=7188
9110,https://lib.bsu.edu/wmr/book_record.php?ID=7212
9112,https://lib.bsu.edu/wmr/book_record.php?ID=7224
9203,https://lib.bsu.edu/wmr/book_record.php?ID=8369
9131,https://lib.bsu.edu/wmr/book_record.php?ID=7362
9132,https://lib.bsu.edu/wmr/book_record.php?ID=7805
9133,https://lib.bsu.edu/wmr/book_record.php?ID=7806
9134,https://lib.bsu.edu/wmr/book_record.php?ID=7807
9135,https://lib.bsu.edu/wmr/book_record.php?ID=7816
9136,https://lib.bsu.edu/wmr/book_record.php?ID=7826
9137,https://lib.bsu.edu/wmr/book_record.php?ID=7825
9139,https://lib.bsu.edu/wmr/book_record.php?ID=7832
9144,https://lib.bsu.edu/wmr/book_record.php?ID=7865
9145,https://lib.bsu.edu/wmr/book_record.php?ID=7867
9146,https://lib.bsu.edu/wmr/book_record.php?ID=7877
9147,https://lib.bsu.edu/wmr/book_record.php?ID=7878
9148,https://lib.bsu.edu/wmr/book_record.php?ID=7881
9149,https://lib.bsu.edu/wmr/book_record.php?ID=7884
9150,https://lib.bsu.edu/wmr/book_record.php?ID=7888
9151,https://lib.bsu.edu/wmr/book_record.php?ID=7892
9152,https://lib.bsu.edu/wmr/book_record.php?ID=7895
9156,https://lib.bsu.edu/wmr/book_record.php?ID=7901
9157,https://lib.bsu.edu/wmr/book_record.php?ID=7904
9158,https://lib.bsu.edu/wmr/book_record.php?ID=7910
9159,https://lib.bsu.edu/wmr/book_record.php?ID=7913
