patron_number,patron_url
4604,https://lib.bsu.edu/wmr/patron_record.php?ID=31
4617,https://lib.bsu.edu/wmr/patron_record.php?ID=256
4620,https://lib.bsu.edu/wmr/patron_record.php?ID=184
4626,https://lib.bsu.edu/wmr/patron_record.php?ID=195
4630,https://lib.bsu.edu/wmr/patron_record.php?ID=1084
4633,https://lib.bsu.edu/wmr/patron_record.php?ID=1087
4637,https://lib.bsu.edu/wmr/patron_record.php?ID=1089
4643,https://lib.bsu.edu/wmr/patron_record.php?ID=2242
4644,https://lib.bsu.edu/wmr/patron_record.php?ID=2243
4645,https://lib.bsu.edu/wmr/patron_record.php?ID=2244
4647,https://lib.bsu.edu/wmr/patron_record.php?ID=2246
4650,https://lib.bsu.edu/wmr/patron_record.php?ID=2248
4657,https://lib.bsu.edu/wmr/patron_record.php?ID=2255
4660,https://lib.bsu.edu/wmr/patron_record.php?ID=2257
4662,https://lib.bsu.edu/wmr/patron_record.php?ID=2197
4667,https://lib.bsu.edu/wmr/patron_record.php?ID=2261
4669,https://lib.bsu.edu/wmr/patron_record.php?ID=2263
4672,https://lib.bsu.edu/wmr/patron_record.php?ID=2359
4673,https://lib.bsu.edu/wmr/patron_record.php?ID=2360
4685,https://lib.bsu.edu/wmr/patron_record.php?ID=666
4689,https://lib.bsu.edu/wmr/patron_record.php?ID=3035
4693,https://lib.bsu.edu/wmr/patron_record.php?ID=2376
4695,https://lib.bsu.edu/wmr/patron_record.php?ID=2378
4699,https://lib.bsu.edu/wmr/patron_record.php?ID=2382
4705,https://lib.bsu.edu/wmr/patron_record.php?ID=2421
4710,https://lib.bsu.edu/wmr/patron_record.php?ID=2425
4711,https://lib.bsu.edu/wmr/patron_record.php?ID=667
4989,https://lib.bsu.edu/wmr/patron_record.php?ID=335
